_code,ticker,company_name,country,gics_sector,gics_industry_group,gics_industry,last_include,first_include
CNE100000NP6,300072 C2 Equity,Beijing Haixin Energy Technology Co Ltd,CH,15,1510,151010,2020-05-31,2019-12-01
CNE100003PM2,688111 C1 Equity,Beijing Kingsoft Office Software Inc,CH,45,4510,451030,2024-05-31,2021-09-01
CNE000000QS4,000786 C2 Equity,Beijing New Building Materials PLC,CH,20,2010,201020,2024-05-31,2019-12-01
CNE100000CS3,002271 C2 Equity,Beijing Oriental Yuhong Waterproof Technology Co Ltd,CH,15,1510,151020,2024-05-31,2019-12-01
CNE100000N95,300070 C2 Equity,Beijing Originwater Technology Co Ltd,CH,20,2020,202010,2023-02-28,2019-12-01
CNE100003R80,688169 C1 Equity,Beijing Roborock Technology Co Ltd,CH,25,2520,252010,2024-05-31,2021-09-01
CNE000001L31,002038 C2 Equity,Beijing SL Pharmaceutical Co Ltd,CH,35,3520,352010,2020-05-31,2019-12-01
CNE100000668,002153 C2 Equity,Beijing Shiji Information Technology Co Ltd,CH,45,4510,451030,2024-02-29,2018-06-01
CNE000000XH3,000860 C2 Equity,Beijing Shunxin Agriculture Co Ltd,CH,30,3020,302010,2022-11-30,2019-12-01
CNE100001S16,300383 C2 Equity,Beijing Sinnet Technology Co Ltd,CH,45,4510,451020,2022-11-30,2019-12-01
CNE000001QM5,300271 C2 Equity,Beijing Thunisoft Corp Ltd,CH,45,4510,451030,2021-05-31,2020-06-01
CNE000000WF9,600161 C1 Equity,Beijing Tiantan Biological Products Corp Ltd,CH,35,3520,352010,2024-05-31,2019-12-01
CNE000000R69,600085 C1 Equity,Beijing Tongrentang Co Ltd,CH,35,3520,352020,2024-05-31,2018-06-01
CNE100003M28,603613 C1 Equity,Beijing United Information Technology Co Ltd,CH,20,2010,201070,2024-02-29,2021-06-01
CNE100004090,603392 C1 Equity,Beijing Wantai Biological Pharmacy Enterprise Co Ltd,CH,35,3520,352010,2024-05-31,2021-09-01
CNE000000S84,000729 C2 Equity,Beijing Yanjing Brewery Co Ltd,CH,30,3020,302010,2024-05-31,2019-12-01
CNE100003LG3,603267 C1 Equity,Beijing Yuanliu Hongyuan Electronic Technology Co Ltd,CH,45,4520,452030,2023-05-31,2021-06-01
CNE100003RV9,601816 C1 Equity,Beijing-Shanghai High Speed Railway Co Ltd,CH,20,2030,203040,2024-05-31,2020-09-01
CNE000000WC6,600166 C1 Equity,Beiqi Foton Motor Co Ltd,CH,25,2510,251020,2024-05-31,2023-09-01
KYG097021045,2129452D HK Equity,Belle International Holdings Ltd,CH,25,2520,252030,2017-08-31,2014-03-01
CNE1000030Y7,603596 C1 Equity,Bethel Automotive Safety Systems Co Ltd,CH,25,2510,251010,2024-05-31,2022-12-01
CNE100002DD9,300558 C2 Equity,Betta Pharmaceuticals Co Ltd,CH,35,3520,352020,2024-02-29,2019-12-01
US0900401060,BILI UW Equity,Bilibili Inc,CH,50,5020,502020,2022-05-31,2020-06-01
